id,event_type,event_cause,requires_road_closure,priority,status,corridor,police_station,zone,latitude,longitude,junction,start_datetime,hour,day_of_week,dow_num,month,is_weekend,was_escalated,has_valid_stretch,stretch_km,veh_type
FKID000036,unplanned,vehicle_breakdown,False,HIGH,closed,Magadi Road,Magadi Road,,12.9789228,77.5644032,,2024-03-07 20:17:50.952000+00:00,20,Thursday,3,3,False,True,False,,bmtc_bus
FKID000037,unplanned,accident,False,LOW,closed,Non-corridor,Electronic City,,12.8636494,77.6725849,,2024-01-30 03:52:59.126038+00:00,3,Tuesday,1,1,False,False,False,,
FKID000038,unplanned,vehicle_breakdown,False,HIGH,closed,Bannerghata Road,Mico Layout,,12.9219483,77.6002467,,2024-01-30 15:15:10.139000+00:00,15,Tuesday,1,1,False,True,False,,heavy_vehicle
FKID000039,unplanned,pot_holes,False,LOW,active,Non-corridor,Jeevanbheemanagar,,12.9666597,77.661556,,2024-01-30 08:37:16.322000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000040,planned,construction,False,HIGH,closed,ORR East 1,HAL Old Airport,,12.946469,77.6986754,,2024-01-30 11:31:12.848000+00:00,11,Tuesday,1,1,False,False,False,,
FKID000041,unplanned,others,True,HIGH,closed,Bellary Road 1,High ground,,12.9936273,77.5844677,,2024-03-07 20:20:31.140000+00:00,20,Thursday,3,3,False,True,True,0.018693418351748578,
FKID000042,unplanned,vehicle_breakdown,False,HIGH,closed,ORR East 1,HAL Old Airport,,12.9465079,77.6986339,,2024-01-30 20:38:19.329000+00:00,20,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000043,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Chikkabanavara,,13.0467058,77.5036495,,2024-03-07 18:29:50.857000+00:00,18,Thursday,3,3,False,True,False,,lcv
FKID000044,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Peenya,West Zone 1,13.0166142,77.5054464,Peenya14thCrossJunc,2023-12-28 06:06:26.375000+00:00,6,Thursday,3,12,False,True,False,,bmtc_bus
FKID000045,planned,construction,True,LOW,closed,Non-corridor,K.G. Halli,,13.0085677,77.6131497,,2024-01-30 21:21:10.303000+00:00,21,Tuesday,1,1,False,True,True,0.003033693154698838,
FKID000046,unplanned,vehicle_breakdown,False,HIGH,closed,Tumkur Road,Yeshwanthpura,,13.0309717,77.5364661,,2024-01-30 19:33:25.417000+00:00,19,Tuesday,1,1,False,True,False,,lcv
FKID000047,unplanned,others,False,HIGH,closed,Tumkur Road,Yeshwanthpura,,13.0262806,77.5442344,,2024-03-07 20:27:15.443000+00:00,20,Thursday,3,3,False,True,False,,
FKID000048,unplanned,tree_fall,False,HIGH,closed,Bellary Road 1,High ground,,12.9938639,77.5844374,,2024-03-07 20:41:41.999000+00:00,20,Thursday,3,3,False,True,False,,
FKID000049,unplanned,vehicle_breakdown,False,HIGH,closed,ORR East 1,Bellandur,,12.9188682,77.6687736,,2024-01-30 21:27:52.454000+00:00,21,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000050,unplanned,congestion,False,HIGH,closed,IRR(Thanisandra road),Jeevanbheemanagar,,12.9546127,77.6423399,,2024-01-30 20:46:34.356000+00:00,20,Tuesday,1,1,False,False,False,,
FKID000051,unplanned,vehicle_breakdown,False,HIGH,closed,Mysore Road,Byatarayanapura,,12.936133,77.5187044,,2024-01-30 21:13:55.445000+00:00,21,Tuesday,1,1,False,True,False,,lcv
FKID000052,planned,construction,False,HIGH,closed,ORR East 2,HAL Old Airport,,12.9694079,77.7006346,,2024-01-30 20:56:01.732000+00:00,20,Tuesday,1,1,False,True,False,,
FKID000053,unplanned,vehicle_breakdown,False,HIGH,closed,Bellary Road 1,High ground,,12.9849833,77.5883633,,2024-01-30 21:47:40.463000+00:00,21,Tuesday,1,1,False,True,False,,private_car
FKID000054,unplanned,vehicle_breakdown,False,HIGH,closed,West of Chord Road,Malleshwaram,,13.0127301,77.5545135,,2024-03-07 20:42:57.607000+00:00,20,Thursday,3,3,False,True,False,,truck
FKID000055,unplanned,road_conditions,False,LOW,closed,Non-corridor,Whitefield,,12.9842019,77.7336286,,2024-01-30 21:54:56.083000+00:00,21,Tuesday,1,1,False,True,False,,
FKID000057,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Mahadevapura,,12.9848257,77.7527586,,2024-01-30 22:06:02.276000+00:00,22,Tuesday,1,1,False,True,False,,private_car
FKID000058,unplanned,tree_fall,False,HIGH,closed,Bellary Road 1,High ground,,12.9932986,77.5837571,,2024-03-07 20:51:39.532000+00:00,20,Thursday,3,3,False,True,False,,
FKID000059,unplanned,tree_fall,False,HIGH,closed,Bellary Road 1,High ground,,12.9937523,77.5842482,,2024-03-07 20:47:40.640000+00:00,20,Thursday,3,3,False,True,False,,
FKID000060,unplanned,tree_fall,False,HIGH,closed,Bellary Road 1,High ground,,12.9938868,77.5841876,,2024-03-07 20:45:19.752000+00:00,20,Thursday,3,3,False,True,False,,
FKID000061,unplanned,vehicle_breakdown,False,HIGH,resolved,ORR East 1,HAL Old Airport,,12.9368467,77.6928653,,2024-01-30 23:05:02.339000+00:00,23,Tuesday,1,1,False,True,False,,private_car
FKID000062,unplanned,tree_fall,True,LOW,closed,Non-corridor,Malleshwaram,,13.0126766,77.5581246,,2024-03-07 20:53:37.293000+00:00,20,Thursday,3,3,False,True,True,0.019653035090838267,
FKID000063,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Jnanabharathi,,12.9513113,77.4994888,,2024-01-30 23:12:23.123000+00:00,23,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000064,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Peenya,,13.0160964,77.5068555,,2024-01-30 21:21:57.881000+00:00,21,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000065,unplanned,pot_holes,False,HIGH,active,CBD 1,Shivajinagar,,12.9807501,77.6028238,,2024-03-07 21:05:54.697000+00:00,21,Thursday,3,3,False,True,False,,
FKID000066,unplanned,tree_fall,False,LOW,closed,Non-corridor,J.P. Nagar,,12.9165983,77.583705,,2024-03-07 20:58:06.297000+00:00,20,Thursday,3,3,False,True,False,,
FKID000067,unplanned,pot_holes,False,HIGH,active,Non-corridor,Hennuru,,13.0198619,77.6562235,,2024-01-31 01:04:36.275000+00:00,1,Wednesday,2,1,False,True,False,,
FKID000068,unplanned,pot_holes,False,HIGH,active,ORR North 1,Hennuru,,13.0191848,77.6555127,,2024-01-31 01:01:36.195000+00:00,1,Wednesday,2,1,False,True,False,,
FKID000069,unplanned,vehicle_breakdown,False,HIGH,closed,West of Chord Road,Vijayanagara,,12.9740913,77.5452252,,2024-01-31 00:33:27.663000+00:00,0,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000070,unplanned,vehicle_breakdown,False,HIGH,closed,West of Chord Road,Vijayanagara,,12.9740971,77.5449011,,2024-01-31 00:36:02.277000+00:00,0,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000071,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Chamarajpet,,12.9688926,77.569795,,2024-01-31 01:24:44.373000+00:00,1,Wednesday,2,1,False,True,False,,auto
FKID000072,unplanned,pot_holes,False,HIGH,closed,Magadi Road,Kamakshipalya,,12.9838737,77.5286068,,2024-01-30 23:46:07.351000+00:00,23,Tuesday,1,1,False,True,False,,
FKID000073,unplanned,others,False,LOW,closed,Non-corridor,Byatarayanapura,,12.9595586,77.5162093,,2024-01-30 23:23:41.783000+00:00,23,Tuesday,1,1,False,True,False,,
FKID000074,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,V.V.Puram (C.Pet),,12.9511354,77.5739687,,2024-01-30 22:39:37.276000+00:00,22,Tuesday,1,1,False,True,False,,lcv
FKID000075,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Rajajinagar,,13.0192138,77.5395595,,2024-01-30 23:11:03.886000+00:00,23,Tuesday,1,1,False,True,False,,others
FKID000076,unplanned,pot_holes,False,LOW,closed,Non-corridor,J.P. Nagar,,12.9161187,77.5856548,,2024-03-07 21:11:51.734000+00:00,21,Thursday,3,3,False,True,False,,
FKID000077,unplanned,vehicle_breakdown,True,HIGH,closed,ORR East 1,Bellandur,,12.9284355,77.6811918,,2024-01-30 23:18:30.880000+00:00,23,Tuesday,1,1,False,True,True,0.02875614125720539,bmtc_bus
FKID000078,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,No Police Station,,13.0753282,77.4370383,,2024-03-07 19:23:40.435000+00:00,19,Thursday,3,3,False,True,False,,heavy_vehicle
FKID000080,unplanned,others,False,LOW,closed,Non-corridor,Jnanabharathi,,12.9449039,77.4949618,,2024-03-07 21:25:26.425000+00:00,21,Thursday,3,3,False,True,False,,
FKID000081,unplanned,tree_fall,False,LOW,closed,Non-corridor,Pulikeshinagar(F.Town),,12.9873133,77.6163481,,2024-03-07 21:17:00.312000+00:00,21,Thursday,3,3,False,True,False,,
FKID000082,planned,construction,False,HIGH,closed,ORR East 2,HAL Old Airport,,12.969418,77.7006526,,2024-03-07 21:23:16.629000+00:00,21,Thursday,3,3,False,True,False,,
FKID000083,unplanned,others,True,HIGH,closed,Mysore Road,Chamarajpet,,12.9613232,77.5644194,,2024-03-07 21:14:45.233000+00:00,21,Thursday,3,3,False,True,True,0.03204310079526034,
FKID000084,unplanned,others,False,LOW,closed,Non-corridor,Byatarayanapura,,12.959419,77.5165897,,2024-03-07 21:28:44.841000+00:00,21,Thursday,3,3,False,True,False,,
FKID000085,unplanned,pot_holes,False,LOW,closed,Non-corridor,Adugodi,,12.9431035,77.6220445,,2024-03-07 21:25:14.206000+00:00,21,Thursday,3,3,False,True,False,,
FKID000086,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Electronic City,,12.8482637,77.6713737,,2024-01-31 02:47:16.032000+00:00,2,Wednesday,2,1,False,True,False,,lcv
FKID000087,unplanned,vehicle_breakdown,False,HIGH,closed,Mysore Road,Ashok Nagar,,12.96672,77.6093294,,2024-01-31 05:03:24.794000+00:00,5,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000088,unplanned,vehicle_breakdown,False,HIGH,closed,ORR North 1,Banaswadi,,13.0253205,77.6400845,,2024-03-07 21:35:50.715000+00:00,21,Thursday,3,3,False,True,False,,private_bus
FKID000089,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Electronic City,,12.8561783,77.6645205,,2024-01-31 02:08:55.286000+00:00,2,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000090,unplanned,water_logging,False,HIGH,closed,Mysore Road,Halasuru Gate,,12.9641056,77.5825203,,2024-01-31 03:04:31.974000+00:00,3,Wednesday,2,1,False,True,False,,
FKID000091,unplanned,vehicle_breakdown,False,HIGH,closed,Magadi Road,Magadi Road,,12.974757,77.5657216,,2024-01-31 01:22:31.388000+00:00,1,Wednesday,2,1,False,True,False,,lcv
FKID000092,unplanned,vehicle_breakdown,False,HIGH,closed,Mysore Road,Halasuru Gate,,12.9640011,77.5836093,,2024-01-31 01:45:45.370000+00:00,1,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000093,unplanned,vehicle_breakdown,False,HIGH,closed,Mysore Road,Byatarayanapura,,12.9480512,77.5343585,,2024-01-31 04:21:01.833000+00:00,4,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000094,unplanned,vehicle_breakdown,False,HIGH,closed,ORR East 1,Bellandur,,12.9245654,77.6739287,,2024-01-31 03:31:13.977000+00:00,3,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000095,unplanned,tree_fall,False,LOW,closed,Non-corridor,R.T. Nagar,,13.0078566,77.5920655,,2024-03-07 21:47:02.800000+00:00,21,Thursday,3,3,False,False,False,,
FKID000096,unplanned,tree_fall,True,LOW,active,Non-corridor,Malleshwaram,,13.0035862,77.5721203,,2024-03-07 21:49:19.785000+00:00,21,Thursday,3,3,False,True,True,0.015273414460831558,
FKID000097,unplanned,others,False,HIGH,active,CBD 2,Cubbon Park,,12.9854129,77.5941024,,2024-03-07 21:59:21.123000+00:00,21,Thursday,3,3,False,True,False,,
FKID000098,unplanned,tree_fall,True,LOW,active,Non-corridor,Jayanagara,,12.9272622,77.5806774,,2024-03-07 21:57:57.213000+00:00,21,Thursday,3,3,False,True,True,0.000910199999989203,
FKID000099,unplanned,tree_fall,True,LOW,closed,Non-corridor,Sadashivanagar,,13.0022504,77.5722138,,2024-03-07 21:37:11.187000+00:00,21,Thursday,3,3,False,True,True,0.0040031777200230205,
FKID000100,unplanned,tree_fall,True,HIGH,closed,Mysore Road,Chamarajpet,,12.9586724,77.5629452,,2024-03-07 21:34:37.863000+00:00,21,Thursday,3,3,False,True,True,0.005510174611803739,
FKID000101,unplanned,vehicle_breakdown,False,HIGH,closed,Bellary Road 1,Hebbala,,13.0369808,77.5895122,,2024-01-31 03:11:13.623000+00:00,3,Wednesday,2,1,False,True,False,,truck
FKID000102,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Jayanagara,,12.9169077,77.5737827,,2024-01-31 03:23:09.510000+00:00,3,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000103,unplanned,pot_holes,False,HIGH,active,Bannerghata Road,J.P. Nagar,,12.9047066,77.6016042,,2024-03-07 22:01:11.729000+00:00,22,Thursday,3,3,False,True,False,,
FKID000104,unplanned,pot_holes,False,HIGH,active,Bannerghata Road,J.P. Nagar,,12.9047995,77.6017019,,2024-03-07 22:02:40.027000+00:00,22,Thursday,3,3,False,True,False,,
FKID000105,unplanned,water_logging,False,HIGH,active,West of Chord Road,Vijayanagara,,12.9774707,77.5457303,,2024-03-07 22:06:56.368000+00:00,22,Thursday,3,3,False,True,False,,
FKID000106,unplanned,pot_holes,False,HIGH,active,Bannerghata Road,J.P. Nagar,,12.904781,77.6015741,,2024-03-07 22:07:52.537000+00:00,22,Thursday,3,3,False,True,False,,
FKID000107,unplanned,vehicle_breakdown,False,HIGH,closed,ORR West 1,Banashankari,,12.9238693,77.5536044,,2024-01-31 05:41:26.253000+00:00,5,Wednesday,2,1,False,True,False,,others
FKID000108,unplanned,others,False,LOW,active,Non-corridor,Ashok Nagar,,12.9585656,77.5932824,,2024-01-31 07:26:39.082000+00:00,7,Wednesday,2,1,False,True,False,,
FKID000109,unplanned,tree_fall,False,HIGH,closed,Mysore Road,Chamarajpet,,12.9601533,77.5633429,,2024-03-07 22:16:53.889000+00:00,22,Thursday,3,3,False,True,False,,
FKID000110,unplanned,tree_fall,False,LOW,closed,Non-corridor,Chamarajpet,,12.9578001,77.5631189,,2024-03-07 22:08:18.693000+00:00,22,Thursday,3,3,False,True,False,,
FKID000111,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,City Market,,12.95836,77.5776317,,2024-03-07 22:28:07.464000+00:00,22,Thursday,3,3,False,True,False,,private_bus
FKID000112,unplanned,pot_holes,False,HIGH,closed,ORR East 1,Madiwala,South Zone 2,12.9187567,77.621505,SilkBoardJunc,2023-12-16 02:15:10.244000+00:00,2,Saturday,5,12,True,True,False,,
FKID000113,unplanned,construction,False,HIGH,closed,Bellary Road 1,Hebbala,,13.0331905,77.5901915,,2024-03-07 22:40:56.720000+00:00,22,Thursday,3,3,False,True,False,,
FKID000114,unplanned,vehicle_breakdown,True,LOW,closed,Non-corridor,Adugodi,,12.9360494,77.6154975,,2024-03-07 20:31:07.587000+00:00,20,Thursday,3,3,False,True,True,0.019866658940248288,lcv
FKID000115,unplanned,water_logging,False,HIGH,active,Old Madras Road,Halasur,,12.9784088,77.6285392,,2024-03-07 22:55:04.919000+00:00,22,Thursday,3,3,False,True,False,,
FKID000116,unplanned,pot_holes,False,LOW,active,Non-corridor,Shivajinagar,,12.9873237,77.6037885,,2024-03-07 22:33:02.896000+00:00,22,Thursday,3,3,False,True,False,,
FKID000117,unplanned,vehicle_breakdown,False,HIGH,closed,ORR North 1,Banaswadi,,13.0190323,77.654465,,2024-03-07 22:48:31.761000+00:00,22,Thursday,3,3,False,True,False,,bmtc_bus
FKID000118,unplanned,congestion,False,HIGH,closed,ORR North 2,Kodigehalli,,13.0446713,77.5828869,,2024-01-31 05:48:22.545000+00:00,5,Wednesday,2,1,False,False,False,,
FKID000119,unplanned,vehicle_breakdown,False,HIGH,closed,Hosur Road,Madiwala,,12.9119892,77.6254956,,2024-01-31 06:15:45.828000+00:00,6,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000120,unplanned,vehicle_breakdown,False,HIGH,closed,Magadi Road,Kamakshipalya,,12.9893579,77.5064443,,2024-01-31 05:56:24.296000+00:00,5,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000121,unplanned,vehicle_breakdown,False,HIGH,closed,Tumkur Road,Sadashivanagar,,13.0152581,77.5639687,,2024-03-07 19:49:46.025000+00:00,19,Thursday,3,3,False,True,False,,lcv
FKID000122,unplanned,tree_fall,True,LOW,closed,Non-corridor,Basavanagudi,,12.9392829,77.5596125,,2024-03-07 23:06:49.704000+00:00,23,Thursday,3,3,False,True,True,0.014319507664640654,
FKID000123,unplanned,vehicle_breakdown,False,HIGH,closed,Mysore Road,Chamarajpet,,12.9614398,77.5600867,,2024-01-31 08:57:24.573000+00:00,8,Wednesday,2,1,False,True,False,,lcv
FKID000124,unplanned,vehicle_breakdown,False,HIGH,closed,Hosur Road,Madiwala,,12.9194445,77.6215536,,2024-01-31 08:05:37.513000+00:00,8,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000125,unplanned,construction,False,LOW,active,Non-corridor,Chikkabanavara,,13.0501731,77.4947759,,2024-01-31 11:11:49.384000+00:00,11,Wednesday,2,1,False,True,False,,
FKID000126,unplanned,accident,False,LOW,closed,Non-corridor,Electronic City,,12.8400906,77.6764868,,2024-01-31 16:11:31.242000+00:00,16,Wednesday,2,1,False,True,False,,
FKID000127,unplanned,accident,False,HIGH,closed,Tumkur Road,Chikkabanavara,,13.042636,77.5147881,,2024-01-31 19:13:08.144000+00:00,19,Wednesday,2,1,False,True,False,,
FKID000128,unplanned,vehicle_breakdown,False,HIGH,closed,Bannerghata Road,Mico Layout,,12.9110914,77.6001308,,2024-01-31 19:17:09.201000+00:00,19,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000129,unplanned,others,False,LOW,closed,Non-corridor,Jnanabharathi,West Zone 1,12.9516567,77.500185,RingRoad-UllalJunction,2023-12-30 09:28:08.173000+00:00,9,Saturday,5,12,True,True,False,,
FKID000130,unplanned,pot_holes,False,LOW,active,Non-corridor,Whitefield,,12.9698017,77.7319617,,2024-01-31 20:10:41.586000+00:00,20,Wednesday,2,1,False,True,False,,
FKID000131,unplanned,vehicle_breakdown,False,HIGH,closed,Bellary Road 2,Yelahanka,,13.114305,77.60655,,2024-01-31 20:34:20.329000+00:00,20,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000132,unplanned,vehicle_breakdown,False,HIGH,closed,Magadi Road,Kamakshipalya,,12.9900159,77.5025425,,2024-01-31 20:33:08.407000+00:00,20,Wednesday,2,1,False,True,False,,bmtc_bus
FKID000133,unplanned,accident,False,HIGH,closed,Tumkur Road,Chikkabanavara,,13.0424443,77.5147257,,2024-01-31 19:14:30.018000+00:00,19,Wednesday,2,1,False,True,False,,
FKID000134,unplanned,vehicle_breakdown,True,HIGH,closed,Hosur Road,Madiwala,,12.9216832,77.6199372,,2024-01-31 19:45:59.207000+00:00,19,Wednesday,2,1,False,True,True,0.0032085912750396614,heavy_vehicle
FKID000135,unplanned,others,False,HIGH,closed,ORR North 2,Kodigehalli,North Zone 2,13.0467369,77.575502,BhadrappaLayout,2023-12-21 07:01:13.955000+00:00,7,Thursday,3,12,False,True,False,,
FKID000136,unplanned,vehicle_breakdown,False,HIGH,closed,Bellary Road 1,Kodigehalli,,13.0427379,77.5892891,,2024-01-31 20:51:52.146000+00:00,20,Wednesday,2,1,False,True,False,,lcv
FKID000137,unplanned,vehicle_breakdown,False,HIGH,closed,Tumkur Road,Yeshwanthpura,,13.0308555,77.5359082,,2024-01-31 20:38:26.221000+00:00,20,Wednesday,2,1,False,True,False,,heavy_vehicle
FKID000138,unplanned,pot_holes,True,LOW,closed,Non-corridor,K.R. Pura,,13.0161873,77.7093516,,2024-01-21 00:50:18.118000+00:00,0,Sunday,6,1,True,True,True,0.0033971803423960786,
FKID000139,planned,construction,False,HIGH,closed,ORR East 2,HAL Old Airport,,12.9693576,77.7006406,,2024-01-31 21:05:04.750000+00:00,21,Wednesday,2,1,False,True,False,,
